Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3251|2000022|160|73181606|2|03|TUERCA DE ACERO|1.41121|387377|387377|18882.00|274500.000|6|5920.65000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:02|
3251|2000027|160|73182302|3|99|REMACHE DE ACERO|0.53340|60008|60008|2925.00|112500.000|6|550.35000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 14:00:01|
3251|2000099|160|73181599|1|03|TORNILLO DE ACERO, TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.67868|633868|633868|30959.36|377600.000|6|3605.12000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:17:01|
3251|2000026|160|73181606|3|03|TUERCA DE ACERO|2.29680|365881|365881|17834.20|159300.000|6|5059.80000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:03|
3251|2000099|160|73181599|2|05|TORNILLO DE ACERO|1.24893|33721|33721|1647.00|27000.000|6|565.65000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:17:01|
3251|2000023|160|73181606|2|03|TUERCA DE ACERO|2.13749|1880411|1880411|91657.15|879730.000|6|30202.07000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:03|
3129|1007242|170|73181599|2|05|TORNILLO DE ACERO|1.40006|0|25201|1224.00|18000.000|6|377.10000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 15:18:01|
3129|1007240|170|73181606|2|03|TUERCA DE ACERO|0.68567|0|427002|20855.63|622750.000|6|5631.76000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 18:14:00|
3129|1007243|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.29489|0|248230|12124.05|191700.000|6|4257.93000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 15:25:00|
3251|2000099|160|73181606|3|03|TUERCA DE ACERO|2.00395|638658|638658|31193.31|318700.000|6|7129.62000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:17:01|
3129|1007236|170|73182999|5|99|PERNO DE ACERO|3.35968|0|10583|521.01|3150.000|6|123.84000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-18 17:18:02|
3251|2000022|160|73181599|1|06|TORNILLO DE ACERO|1.39507|62778|62778|3060.00|45000.000|6|528.75000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:02|
3251|2000019|160|73269099|3|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|16.96657|1922482|1922482|93707.85|113310.000|6|31825.44000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:01|
3251|2000163|160|73182999|5|99|PERNO DE ACERO|1.19479|367038|367038|17971.20|307200.000|6|6092.80000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:07:01|
3129|1007244|170|73182102|4|00|ARANDELA DE MUELLE|0.67190|0|21165|1039.50|31500.000|6|64.68000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007242|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.77916|0|87188|4234.70|111900.000|6|1402.48000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 15:18:01|
3251|2000024|160|73181599|1|05|TORNILLO DE ACERO|1.72331|77549|77549|3780.00|45000.000|6|1075.50000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3129|1007245|170|73181606|2|03|TUERCA DE ACERO|2.76014|0|38642|1890.00|14000.000|6|249.00000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3251|2000163|160|87082999|7|99|ENSAMBLE DE ACERO CON TUERCA DE ACERO|6.51519|105546|105546|5167.80|16200.000|6|16200.00000|6|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:07:01|
3129|1007244|170|73182202|5|99|ARANDELA DE ACERO|0.94455|0|177859|8735.40|188300.000|6|1052.39000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007236|170|73181599|3|06|TORNILLO DE ACERO|2.33795|0|163563|8052.59|69960.000|6|2208.92000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-18 17:18:02|
